"AFGH"	1980	5	1
"AFGH"	1980	6	30
"AFGH"	1980	7	19
"AFGH"	1980	8	13
"AFGH"	1980	9	27
"AFGH"	1980	10	18
"AFGH"	1980	11	26
"AFGH"	1980	12	18
"AFGH"	1981	1	13
"AFGH"	1981	2	20
"AFGH"	1981	3	23
"AFGH"	1981	4	19
"AFGH"	1981	5	9
"AFGH"	1981	6	10
"AFGH"	1981	7	14
"AFGH"	1981	8	15
"AFGH"	1981	9	16
"AFGH"	1981	10	9
"AFGH"	1981	11	8
"AFGH"	1981	12	19
"AFGH"	1982	1	6
"AFGH"	1982	2	4
"AFGH"	1982	3	16
"AFGH"	1982	4	10
"AFGH"	1982	5	9
"AFGH"	1982	6	7
"AFGH"	1982	7	12
"AFGH"	1982	8	7
"AFGH"	1982	9	7
"AFGH"	1982	10	11
"AFGH"	1982	11	23
"AFGH"	1982	12	29
"AFGH"	1983	1	17
"AFGH"	1983	2	6
"AFGH"	1983	3	9
"AFGH"	1983	4	9
"AFGH"	1983	5	24
"AFGH"	1983	6	19
"AFGH"	1983	7	13
"AFGH"	1983	8	6
"AFGH"	1983	9	8
"AFGH"	1983	10	9
"AFGH"	1983	11	12
"AFGH"	1983	12	11
"AFGH"	1984	1	9
"AFGH"	1984	2	3
"AFGH"	1984	3	4
"AFGH"	1984	4	12
"AFGH"	1984	5	17
"AFGH"	1984	6	7
"AFGH"	1984	7	7
"AFGH"	1984	8	17
"AFGH"	1984	9	9
"AFGH"	1984	10	18
"AFGH"	1984	11	13
"AFGH"	1984	12	15
"AFGH"	1985	1	10
"AFGH"	1985	2	15
"AFGH"	1985	3	20
"AFGH"	1985	4	18
"AFGH"	1985	5	25
"AFGH"	1985	6	50
"AFGH"	1985	7	40
"AFGH"	1985	8	23
"AFGH"	1985	9	36
"AFGH"	1985	10	46
"AFGH"	1985	11	62
"AFGH"	1985	12	58
"AFGH"	1986	1	66
"AFGH"	1986	2	25
"AFGH"	1986	3	46
"AFGH"	1986	4	95
"AFGH"	1986	5	60
"AFGH"	1986	6	43
"AFGH"	1986	7	55
"AFGH"	1986	8	36
"AFGH"	1986	9	45
"AFGH"	1986	10	84
"AFGH"	1986	11	94
"AFGH"	1986	12	103
"AFGH"	1987	1	135
"AFGH"	1987	2	88
"AFGH"	1987	3	107
"AFGH"	1987	4	83
"AFGH"	1987	5	82
"AFGH"	1987	6	59
"AFGH"	1987	7	88
"AFGH"	1987	8	59
"AFGH"	1987	9	83
"AFGH"	1987	10	88
"AFGH"	1987	11	101
"AFGH"	1987	12	163
"AFGH"	1988	1	191
"AFGH"	1988	2	179
"AFGH"	1988	3	231
"AFGH"	1988	4	314
"AFGH"	1988	5	220
"AFGH"	1988	6	165
"AFGH"	1988	7	143
"AFGH"	1988	8	216
"AFGH"	1988	9	121
"AFGH"	1988	10	124
"AFGH"	1988	11	209
"AFGH"	1988	12	133
"AFGH"	1989	1	219
"AFGH"	1989	2	306
"AFGH"	1989	3	167
"AFGH"	1989	4	140
"AFGH"	1989	5	118
"AFGH"	1989	6	136
"AFGH"	1989	7	127
"AFGH"	1989	8	109
"AFGH"	1989	9	89
"AFGH"	1989	10	105
"AFGH"	1989	11	78
"AFGH"	1989	12	76
"AFGH"	1990	1	92
"AFGH"	1990	2	89
"AFGH"	1990	3	133
"AFGH"	1990	4	69
"AFGH"	1990	5	98
"AFGH"	1990	6	64
"AFGH"	1990	7	87
"AFGH"	1990	8	41
"AFGH"	1990	9	17
"AFGH"	1990	10	52
"AFGH"	1990	11	52
"AFGH"	1990	12	48
"AFGH"	1991	1	95
"AFGH"	1991	2	127
"AFGH"	1991	3	58
"AFGH"	1991	4	83
"AFGH"	1991	5	61
"AFGH"	1991	6	49
"AFGH"	1991	7	54
"AFGH"	1991	8	75
"AFGH"	1991	9	107
"AFGH"	1991	10	76
"AFGH"	1991	11	93
"AFGH"	1991	12	67
"AFGH"	1992	1	70
"AFGH"	1992	2	61
"AFGH"	1992	3	69
"AFGH"	1992	4	269
"AFGH"	1992	5	152
"AFGH"	1992	6	85
"AFGH"	1992	7	84
"AFGH"	1992	8	174
"AFGH"	1992	9	93
"AFGH"	1992	10	64
"AFGH"	1992	11	46
"AFGH"	1992	12	88
"AFGH"	1993	1	84
"AFGH"	1993	2	111
"AFGH"	1993	3	89
"AFGH"	1993	4	105
"AFGH"	1993	5	107
"AFGH"	1993	6	59
"AFGH"	1993	7	115
"AFGH"	1993	8	138
"AFGH"	1993	9	37
"AFGH"	1993	10	53
"AFGH"	1993	11	61
"AFGH"	1993	12	46
"AFGH"	1994	1	111
"AFGH"	1994	2	97
"AFGH"	1994	3	80
"AFGH"	1994	4	49
"AFGH"	1994	5	42
"AFGH"	1994	6	54
"AFGH"	1994	7	54
"AFGH"	1994	8	74
"AFGH"	1994	9	55
"AFGH"	1994	10	47
"AFGH"	1994	11	62
"AFGH"	1994	12	65
"AFGH"	1995	1	55
"AFGH"	1995	2	80
"AFGH"	1995	3	97
"AFGH"	1995	4	83
"AFGH"	1995	5	59
"AFGH"	1995	6	42
"AFGH"	1995	7	24
"AFGH"	1995	8	54
"AFGH"	1995	9	86
"AFGH"	1995	10	89
"AFGH"	1995	11	60
"AFGH"	1995	12	77
"AFGH"	1996	1	66
"AFGH"	1996	2	66
"AFGH"	1996	3	58
"AFGH"	1996	4	53
"AFGH"	1996	5	56
"AFGH"	1996	6	66
"AFGH"	1996	7	82
"AFGH"	1996	8	91
"AFGH"	1996	9	196
"AFGH"	1996	10	330
"AFGH"	1996	11	115
"AFGH"	1996	12	126
"AFGH"	1997	1	106
"AFGH"	1997	2	103
"AFGH"	1997	3	99
"AFGH"	1997	4	90
"AFGH"	1997	5	232
"AFGH"	1997	6	198
"AFGH"	1997	7	150
"AFGH"	1997	8	105
"AFGH"	1997	9	194
"AFGH"	1997	10	131
"AFGH"	1997	11	128
"AFGH"	1997	12	102
"AFGH"	1998	1	110
"AFGH"	1998	2	165
"AFGH"	1998	3	137
"AFGH"	1998	4	214
"AFGH"	1998	5	159
"AFGH"	1998	6	171
"AFGH"	1998	7	146
"AFGH"	1998	8	1342
"AFGH"	1998	9	692
"AFGH"	1998	10	445
"AFGH"	1998	11	289
"AFGH"	1998	12	250
"AFGH"	1999	1	253
"AFGH"	1999	2	313
"AFGH"	1999	3	300
"AFGH"	1999	4	222
"AFGH"	1999	5	199
"AFGH"	1999	6	162
"AFGH"	1999	7	369
"AFGH"	1999	8	345
"AFGH"	1999	9	206
"AFGH"	1999	10	321
"AFGH"	1999	11	387
"AFGH"	1999	12	750
"AFGH"	2000	1	456
"AFGH"	2000	2	660
"AFGH"	2000	3	398
"AFGH"	2000	4	321
"AFGH"	2000	5	603
"AFGH"	2000	6	484
"AFGH"	2000	7	528
"AFGH"	2000	8	574
"AFGH"	2000	9	614
"AFGH"	2000	10	687
"AFGH"	2000	11	576
"AFGH"	2000	12	560
"AFGH"	2001	1	536
"AFGH"	2001	2	636
"AFGH"	2001	3	1037
"AFGH"	2001	4	640
"AFGH"	2001	5	702
"AFGH"	2001	6	709
"AFGH"	2001	7	486
"AFGH"	2001	8	1001
"AFGH"	2001	9	7842
"AFGH"	2001	10	13186
"AFGH"	2001	11	9878
"AFGH"	2001	12	7504
"AFGH"	2002	1	7435
"AFGH"	2002	2	5000
"AFGH"	2002	3	4822
"AFGH"	2002	4	3699
"AFGH"	2002	5	3214
"AFGH"	2002	6	2940
"AFGH"	2002	7	2448
"AFGH"	2002	8	2295
"AFGH"	2002	9	3000
"AFGH"	2002	10	2542
"AFGH"	2002	11	2343
"AFGH"	2002	12	2092
"AFGH"	2003	1	1934
"AFGH"	2003	2	2012
"AFGH"	2003	3	2281
"AFGH"	2003	4	1614
"AFGH"	2003	5	2132
"AFGH"	2003	6	1795
"AFGH"	2003	7	1501
"AFGH"	2003	8	1627
"AFGH"	2003	9	1748
"AFGH"	2003	10	1566
"AFGH"	2003	11	1470
"AFGH"	2003	12	1480
"AFGH"	2004	1	1292
"AFGH"	2004	2	1292
"AFGH"	2004	3	1863
"AFGH"	2004	4	1602
"AFGH"	2004	5	1516
"AFGH"	2004	6	1794
"AFGH"	2004	7	1489
"AFGH"	2004	8	1495
"AFGH"	2004	9	1443
"AFGH"	2004	10	1800
"AFGH"	2004	11	1281
"AFGH"	2004	12	1199
"AFGH"	2005	1	1028
"AFGH"	2005	2	1143
"AFGH"	2005	3	1157
"AFGH"	2005	4	1002
"AFGH"	2005	5	1359
"AFGH"	2005	6	1382
"AFGH"	2005	7	2103
"AFGH"	2005	8	1551
"AFGH"	2005	9	1611
"AFGH"	2005	10	1539
"AFGH"	2005	11	1469
"AFGH"	2005	12	1339
