"land seizures"	4.35738	0.00016453
"slashed export"	3.55932	0.000408104
"price rise"	0	0.000574913
"mass hunger"	4.54616	0.000660847
"cyclone"	5.33453	0.000715835
"failed crops"	4.11889	0.000768389
"disruption to farming"	4.3068	0.000822281
"massive starvation"	4.15823	0.000832176
"abnormally low rainfall"	4.37857	0.000920472
"withheld relief"	5.19287	0.000979373
"international alarm"	4.04997	0.000985657
"reduced national output"	3.35993	0.000994732
"oppressive regimes"	5.08319	0.00103171
"pests"	0	0.001144564
"continued deterioration"	3.66028	0.001145302
"forests destroyed"	5.26023	0.001158465
"man-made disaster"	4.59102	0.00120342
"food insecurity"	4.21104	0.001221273
"harvests are devastated"	3.69069	0.001261977
"humanitarian situation"	3.73962	0.00135029
"economic impoverishment"	3.77494	0.00150825
"clan battle"	4.5155	0.001544394
"population crisis"	3.67442	0.001662776
"aid appeal"	4.3523	0.001671215
"weather extremes"	3.43515	0.001710602
"anti-western policies"	4.60389	0.00179457
"rinderpest"	5.26668	0.001807128
"inadequate rainfall"	4.58441	0.002086423
"lack of authority"	3.77993	0.002095357
"acute hunger"	4.37448	0.002136187
"foreign troops"	4.74302	0.002203513
"increased external debt"	3.33093	0.002225525
"drought"	0	0.002262785
"conflict"	0	0.002268991
"failed rains"	4.28557	0.002297126
"makeshift camps"	5.6291	0.002380553
"civilians uprooted"	5.13113	0.002412858
"dysfunction"	6.1902	0.002603622
"foreign aid"	4.90909	0.00281525
"violent suppression"	4.74558	0.002935727
"military dictatorship"	4.21211	0.00299306
"climatic hazards"	4.06588	0.003025469
"migration"	4.68761	0.00302753
"land grab"	4.29536	0.003122749
"terrorism"	4.62438	0.003170512
"bombing campaign"	4.66087	0.00321126
"collapsing economy"	3.9882	0.003215017
"military junta"	4.43738	0.003225344
"climate change"	0	0.003251667
"rising inflation"	2.59041	0.00336107
"international terrorists"	4.3553	0.003412488
"cycle of poverty"	3.86224	0.003487472
"bad harvests"	3.95564	0.003502367
"destructive pattern"	3.99922	0.003556998
"price of food"	2.71755	0.003559057
"corrupt government"	4.9118	0.003584613
"militia groups"	4.90414	0.003619866
"poor soil quality"	3.47714	0.003678685
"cattle plague"	4.13654	0.003711586
"food assistance"	4.53809	0.003792224
"continued strife"	2.93957	0.003817447
"ecological crisis"	3.01156	0.003852218
"hunger crises"	3.8712	0.003887391
"rising food prices"	2.21937	0.003902938
"restricted humanitarian access"	4.19406	0.003906618
"water availability"	4.14099	0.004001483
"alarming level"	3.3586	0.004035281
"police torture"	5.29588	0.004081821
"potato blight"	4.06646	0.004183456
"the offensive"	5.42249	0.00422102
"land invasions"	4.73648	0.004332257
"clan warfare"	4.16619	0.004336077
"stolen food aid"	4.42132	0.004381328
"politically engineered"	4.39866	0.004433737
"scanty rainfall"	5.13141	0.00445722
"water distribution shortages"	4.07916	0.004542959
"cattle death"	4.5836	0.004547465
"asylum seekers"	5.81976	0.004568251
"major offensive"	4.49229	0.004599494
"without international aid"	3.94537	0.004708704
"prolonged dry spell"	4.08991	0.004865806
"rise"	1.62032	0.00493055
"restricted relief flights"	4.50429	0.004963289
"civil strife"	2.69695	0.004994288
"aid workers died"	4.81392	0.005062256
"rival warlords"	5.1493	0.005116219
"land reform"	3.79519	0.005305619
"lack of roads"	4.15946	0.005334041
"pushing peasants off"	4.59289	0.005384399
"locusts"	4.16812	0.005395511
"gangs of bandits"	5.92413	0.0054238
"repression"	4.60123	0.005453435
"humanitarian disaster"	4.58705	0.005519657
"years of warfare"	3.66099	0.005656453
"floods"	4.18631	0.005675077
"unable to sow"	4.89365	0.005677418
"transport bottleneck"	4.85587	0.005766076
"pirates"	6.57645	0.005853689
"reduced imports"	3.31265	0.005965863
"apathy"	5.53689	0.006067535
"coup"	5.70333	0.00610899
"epidemics"	4.32803	0.006171152
"siege"	5.31832	0.00626049
"power struggle"	3.92794	0.006413806
